Outcome Measure ID,Drug Group,Animal,Sex,Type of Ischaemia,Anaesthetic ID,Method of Induction of Injury,Method of Quantification of Injury,Ventiliation,Route of Drug Delivery,Comorbidity,Cotreatment in both Groups,Cotreatment in Treatment Group Only,Peer Review Publication,Control of Temperature,Monitoring of Physiological Variables,Random Allocation to Group,Blinded Induction of Ischaemia,Blinded Assessment of Outcome,Anaesthetic without marked intrinsic neuroprotective activity,Use of Comorbid Animals,Sample Size Calculation,Compliance with Animal Welfare Regulations,Statement of Potential Conflicts of Interest,Time of Administration (mins),Time of Assessment (hrs),yi,si,yi.smd,si.smd
66,Nootropic,Rat,Male,Permanent,2,17,1,Unknown,IPeritoneal,2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,-30,24,6.666666667,13.95636387,0.190418799,0.578409443
67,Nootropic,Rat,Male,Permanent,2,17,1,Unknown,IPeritoneal,2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,-30,24,25,13.49097934,0.887485269,0.627699277
68,Nootropic,Rat,Male,Permanent,2,17,1,Unknown,IPeritoneal,2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,-30,24,17.91666667,12.09003645,0.759248475,0.593965592
69,Nootropic,Rat,Male,Permanent,2,17,1,Unknown,IPeritoneal,2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,-30,24,29.58333333,12.43222366,1.333585582,0.676248063
70,Nootropic,Rat,Male,Permanent,4,5,2,Unknown,IPeritoneal,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,720,336,-7.014388489,11.72367693,-0.256898663,0.711703193
71,Nootropic,Rat,Male,Permanent,4,5,2,Unknown,IPeritoneal,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,720,336,0.959232614,8.633361164,0.043798649,0.690180233
72,Nootropic,Rat,Male,Permanent,3,5,1,Unknown,IPeritoneal,2,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,360,24,-5.263157895,21.12560452,-0.124668878,0.535244586
73,Nootropic,Rat,Male,Permanent,3,5,1,Unknown,IPeritoneal,2,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,360,24,50.72463768,15.67630989,1.724457041,0.719589653
74,Nootropic,Rat,Male,Permanent,3,5,1,Unknown,IPeritoneal,2,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,360,24,47.43589744,22.05724427,1.016638441,0.541156619
75,Nootropic,Rat,Male,Permanent,3,5,1,Unknown,IPeritoneal,2,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,360,24,51.80722892,14.70669351,1.877381733,0.742952643
